productID,productName,productPrice,productRating,productDiscount,productExp,productWeight,productSeller,productBrand,manufacturedAddress,productCategory,productSubCategory
1,AASHIRVAAD Organic Chana Dal (Split),200,4.4,45,19-08-2022,1 Kg,SuperComNet,AASHIRVAAD,"Kay Kay Agro process PVt. Ltd., Sy. No. 34, Soukya Road, Kacharakanahalli, Via Whitefield,Bengaluru- 560067, Karnataka",Essential,Dals And Pulse
2,Toor/Arhar Dal (Split),190,4.2,35,05-10-2022,1 Kg,SuperComNet,Unbranded,"Survey No-22, Unit-1, Subbaiah INDL Estate, Begur Hobali, Hulimavu Main Road , Bannerughatta Road",Essential,Dals And Pulse
3,Himalayan Natives Yellow Toor/Arhar Dal (Split) (Pesticide Free),219,4.1,36,24-04-2023,1 Kg,SuperComNet,Himalayan Natives,"NO 40, D M Nagappa, Garudachar palya, Mahadevapura Post Bengaluru, Bangalore,Karnataka,560048",Essential,Dals And Pulse
4,Natureland Organics Moong Dal (Split),260,4.4,30,31-01-2023,1 Kg,SuperComNet,Natureland Organics,"D- 325, 326, Agro Food Park RICCO, Sri Ganganagar",Essential,Dals And Pulse
5,Tata Sampann Yellow Moong Dal (Split),88,4.4,7,27-03-2023,500 g,SuperComNet,Tata Sampann,Saraswati ebtrtprise vil sankharidaha PO -befri Ps -domjur hoearah -711411,Essential,Dals And Pulse
6,Classic Green Moong Dal (Whole) by Flipkart Grocery,93,4.4,29,14-10-2022,500 g,SuperComNet,Classic,"366/1, Vikram Warehouse,Nemawar Road, Gram Palda,Indore,Madhya Pradesh,India-452002",Essential,Dals And Pulse
7,Classic Brown Chana (Whole) by Flipkart Grocery,90,4.3,45,14-10-2022,500 g,SuperComNet,Classic,"366/1, Vikram Warehouse,Nemawar Road, Gram Palda,Indore,Madhya Pradesh,India-452002",Essential,Dals And Pulse
8,safe harvest Brown Bengal Gram (Whole) (Pesticide Free),175,4.1,24,23-01-2023,1 Kg,SuperComNet,safe harvest,"6,Sy no.28,Yashodara Nagar Colony,Bairamalguda Village,Saroor Nagar Mandal,Rangareddy Dist, Hyderabad-500079,Telangana",Essential,Dals And Pulse
9,Flipkart Supermart Select Chana Dal (Split),140,4.3,25,23-09-2022,1 Kg,SuperComNet,Flipkart Supermart Select,"Survey No-22, Unit-1, Subbaiah INDL Estate, Begur Hobali, Hulimavu Main Road , Bannerughatta Road",Essential,Dals And Pulse
10,Rajdhani Chana Dal (Split),76,4.3,26,08-10-2022,500 g,SuperComNet,Rajdhani,"Janti Road Pvt Ltd, Janti Road,Kundli,Dist.Sonipat,Haryana-131028",Essential,Dals And Pulse
11,INDIA GATE Feast Rozzana Basmati Rice,111,4,9,18-02-2024,1 Kg,SuperComNet,INDIA GATE,"9th mile stone, Post dujana, bulandhshahar road, Gautam budda nagar(UP)-203207",Essential,Rice And Flour
12,"Fortune Hamesha Basmati Rice (Broken Grain, Steam)",425,4.2,23,29-03-2024,5 Kg,SuperComNet,Fortune,"Fortune HouseNear Navrangpura Railway Crossing,Ahmedabad - 380 009, GUJARAT (India)",Essential,Rice And Flour
13,BEMISAL Parmal Rice (Long Grain),160,3.1,65,21-01-2024,1 Kg,SuperComNet,BEMISAL,"9th mile stone, Post dujana, bulandhshahar road, Gautam budda nagar(UP)-203207",Essential,Rice And Flour
14,Lalbaba Ratna Rice (Long Grain),500,4.1,3,12-07-2022,10 Kg,SuperComNet,Lalbaba,"VILLAGE-PARAJ,THANA-GALSI,BURDWAN,WEST BENGAL,Burdwan,West Bengal,India,713403",Essential,Rice And Flour
15,Daawat Rozana Super Basmati Rice (Medium Grain),425,4.2,15,19-02-2024,5 Kg,SuperComNet,Daawat,"LT foods limited, 43rd Milestone, GT road , Bahalgarh, Sonipat , Haryana 131021",Essential,Rice And Flour
16,Flipkart Supermart Select Refined Wheat Flour (Maida),75,4.3,29,16-07-2022,1 Kg,SuperComNet,Flipkart Supermart Select,"Survey No-22, Unit-1, Subbaiah INDL Estate, Begur Hobali, Hulimavu Main Road , Bannerughatta Road",Essential,Rice And Flour
17,Agro Fresh Maida,50,4.3,8,29-06-2022,1 Kg,SuperComNet,Agro Fresh,"G-9, MANGALPUR INDUSTRIAL ESTATE,RANIGANJ, Bardhaman, west bengal",Essential,Rice And Flour
18,"Tata Sampann 100% Chana Dal Fine Besan, Gram Flour",125,4.4,21,18-10-2022,1 Kg,SuperComNet,Tata Sampann,Saraswati ebtrtprise vil sankharidaha PO -befri Ps -domjur hoearah -711411,Essential,Rice And Flour
19,Flipkart Supermart Select Besan,150,4.3,18,30-06-2022,1 Kg,SuperComNet,Flipkart Supermart Select,"Survey No-22, Unit-1, Subbaiah INDL Estate, Begur Hobali, Hulimavu Main Road , Bannerughatta Road",Essential,Rice And Flour
20,Organic Tattva Wheat Maida,55,4,14,19-11-2022,500 g,SuperComNet,Organic Tattva,"Mehrotra Consumer Products Pvt. Ltd. 26G, Sector 31, Ecotech I, Greater Noida 201308, UP, INDIA",Essential,Rice And Flour
21,Nutralite DoodhShakti Pure Ghee,575,4.2,18,31-12-2022,1 L,SuperComNet,Naturalite,"SchemeNo.63,Survey No 536, Zydus Corporate Park,Near Vaishnodevi Circle, Khoraj,Gandhinagar,Ahmedabad,Gujarat-382481",Essential,GheeAndOils
22,Annapurna Desi Ghee,532,4.4,6,23-02-2023,1 L,SuperComNet,Annapurna,"171/M, Picnic Garden Road, West Bengal",Essential,GheeAndOils
23,Nestle Everyday Shahi Ghee,500,4.3,1,20-12-2022,1 L,SuperComNet,Nestle,"Nestle India Ltd., 100/101, World Trade Centre, Barakhamba Lane, New Delhi-110001",Essential,GheeAndOils
24,Flipkart Grocery Classic Desi Ghee,285,4.2,12,02-12-2022,500 ml,SuperComNet,Flipkart Grocery,"427, Srinivasa Nilaya, Amarjyothi Layout, Domlur, Bengaluru (Bangalore)",Essential,GheeAndOils
25,AASHIRVAAD Svasti Pure Cow Ghee,605,4.4,7,23-01-2023,1 L,SuperComNet,AASHIRVAAD,"At: plot No.41, 4th phase, Industrial Area, Malur Taluk-563130",Essential,GheeAndOils
26,Fortune Rice Bran Oil Pouch,225,4.5,15,17-03-2023,1 L,SuperComNet,Fortune,"5th Floor, C Buliding, MBC Park, Godbunder Road, Thane West, Thane - 400610, Near Kasarvadavali, Near Hypercity",Essential,GheeAndOils
27,EMAMI Healthy & Tasty Refined Rice Bran Oil Pouch,220,4.4,15,13-12-2022,1 L,SuperComNet,EMAMI,Emami Agrotech limited 149 debhog HPL link road Po Bhabanipur haldia-721657,Essential,GheeAndOils
28,Dhara Kachi Ghani Mustard Oil Mustard Oil Can,1075,4.5,8,26-12-2022,5 L,SuperComNet,Dhara,"Vaishnodevi Refoils & Solvex,plot No.235/3 GIDC,Chandisar,Taluka-Palanpur,Dist.Banaskantha-385 510,GUJRAT",Essential,GheeAndOils
